api,signature,phase,inner_range,calls_all_pids,total_s_all_pids,max_ms
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < autograd::THPVariable_nonzero < autograd::PyNode::apply,backward,recompute,624,41.703,106.591
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < dynamo_eval_custom_code,forward,layer+moe,600,32.382,109.405
cudaStreamSynchronize,"Executor::metadata_preprocess_core < HybridEPBuffer::metadata_preprocessing < pybind11::cpp_function::initialize<pybind11::cpp_function::initialize<HandleImpl, HybridEPBuffer, HybridEpConfigInstance, at::Tensor, long, std::optional<long>, std::optional<long>, bool, bool, bool, pybind11::name, pybind11::is_method, pybind11::sibling, pybind11::kw_only, pybind11::arg, pybind11::arg, pybind11::arg, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v> < pybind11::cpp_function::dispatcher < ",forward,layer+moe+moe_dispatch+hybridep_dispatch,600,0.313,2.786
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < dynamo_eval_custom_code,backward,recompute+layer+moe,600,44.418,105.737
cudaStreamSynchronize,"Executor::metadata_preprocess_core < HybridEPBuffer::metadata_preprocessing < pybind11::cpp_function::initialize<pybind11::cpp_function::initialize<HandleImpl, HybridEPBuffer, HybridEpConfigInstance, at::Tensor, long, std::optional<long>, std::optional<long>, bool, bool, bool, pybind11::name, pybind11::is_method, pybind11::sibling, pybind11::kw_only, pybind11::arg, pybind11::arg, pybind11::arg, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v> < pybind11::cpp_function::dispatcher <  < autograd::PyNode::apply",backward,recompute+layer+moe+moe_dispatch+hybridep_dispatch,600,0.314,2.745
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < make_info < at::meta::structured_index_Tensor::meta,forward,layer+attention,360,0.049,6.311
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < ,forward,layer+attention+dsa_indexer,336,6.885,113.68
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < autograd::PyNode::apply,backward,recompute+layer+attention+dsa_indexer,336,13.665,88.102
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < ops::_to_copy::call,backward,-,64,0.766,14.703
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item,-,-,48,0.423,61.003
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < ops::_to_copy::call,-,-,44,0.001,0.035
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item,forward,lm_head,8,0.287,36.526
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < autograd::VariableType::,forward,lm_head,8,0.0,0.005
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item,forward,-,8,3.048,508.07
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < long at::Tensor::item<long> < repeat_interleave_cuda,-,-,7,0.0,0.014
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < unsigned char at::Tensor::item<unsigned char> < repeat_interleave_cuda,-,-,7,0.0,0.014
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < autograd::VariableType::,-,-,5,0.0,0.03
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < make_info < at::meta::structured_index_Tensor::meta,forward,lm_head,3,0.056,54.642
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < copy_kernel_cuda < copy_impl,-,-,2,0.0,0.004
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < make_info < _index_put_impl_,forward,lm_head,1,0.0,0.014
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < expandTensors < makeLinearIndex,backward,-,1,0.012,12.176
